baseName;nodeName;description
Ibreprods;Ibreprods_IGP;O Índice Geral de Preços (IGP) é um indicador econômico que representa a média ponderada de três índices de preços, sendo eles o Índice de Preços ao Produtor Amplo (IPA), o Índice de Preços ao Consumidor (IPC) e o Índice Nacional de Custo da Construção (INCC). Esses índices permitem analisar as fontes de pressão inflacionária e a evolução dos preços de produtos e serviços mais relevantes para os setores produtivo, consumidor e construção civil.  Criado na década de 1940, o IGP foi concebido com o objetivo de ser uma medida abrangente do movimento de preços no país. Sua composição leva em consideração diferentes atividades e etapas do processo produtivo, tornando-se assim um indicador mensal do nível de atividade econômica. Os pesos de cada um dos índices componentes são calculados com base nas Contas Nacionais, representando parcelas da despesa interna bruta.  A abrangência geográfica do IGP inclui as cidades de Belo Horizonte, Brasília, Porto Alegre, Recife, Rio de Janeiro, São Paulo e Salvador. Já a abrangência setorial engloba diversos setores, como alimentação, habitação, vestuário, saúde, educação, transporte, entre outros, tanto do ponto de vista do produtor quanto do consumidor. O período de coleta varia de acordo com a versão do índice, sendo mensal para o IGP-M, IGP-10 e IGP-DI, e decendial para o IGP 1º e 2º decêndio.
Ibreprods;Ibreprods_INCC;"""O INCC (Índice Nacional de Custo da Construção), fornecido pelo FGV IBRE, é um importante indicador de preços para o setor da construção civil no Brasil. Este índice permite o acompanhamento da evolução dos preços de materiais, serviços e mão-de-obra mais relevantes para o segmento.  Calculado para sete capitais brasileiras (Rio de Janeiro, São Paulo, Belo Horizonte, Recife, Salvador, Brasília e Porto Alegre), o INCC é composto por três componentes: materiais e equipamentos, serviços e mão-de-obra. Sua abrangência geográfica e setorial possibilita uma análise abrangente do mercado da construção civil no país.  O INCC é calculado mensalmente em três modalidades: INCC-M, INCC-10 e INCC-DI, cada um com um período de coleta específico. Além disso, em julho de 2023, o índice passou por uma atualização na estrutura de ponderação, permitindo que fosse calculado para distintos padrões construtivos (econômico, médio e alto) nas sete cidades abrangidas.  Com mais de 70 anos de existência, o INCC continua sendo um dos mais importantes indicadores de preços para o segmento da construção civil no Brasil. Sua atualização metodológica e sua abrangência geográfica e setorial garantem que o índice seja um referencial confiável para acompanhar a evolução dos custos no setor da construção."""
Ibreprods;Ibreprods_IPA;O Índice de Preços ao Produtor Amplo (IPA) é um indicador que registra as variações de preços de produtos agropecuários e industriais nas transações interempresariais, ou seja, nos estágios de comercialização que ocorrem antes do consumo final. Criado em 1947 e anteriormente denominado Índice de Preços por Atacado, o IPA é utilizado como referência em diversas operações financeiras e de reajuste, como a correção monetária das Obrigações Reajustáveis do Tesouro Nacional e o cálculo da Unidade Padrão de Capital para financiamentos imobiliários. A pesquisa de preços para o cálculo do IPA é realizada continuamente, com apurações a cada decêndio. O IPA está disponível em diferentes versões, como o IPA-10, IPA-M e IPA-DI, que se diferenciam apenas no período de coleta de preços. Sua utilização é ampla, sendo um indicador importante na análise das variações de preços de produtos agrícolas e industriais. Abrangendo todo o território nacional, o IPA abrange os setores agropecuário e industrial, e possui uma série histórica que remonta a 1944.
Ibreprods;Ibreprods_IPC;O Índice de Preços ao Consumidor (IPC) é um dos principais indicadores utilizados para avaliar o poder de compra do consumidor. Ele é calculado pelo Instituto Brasileiro de Economia da Fundação Getúlio Vargas (FGV IBRE) e tem como base a estrutura de consumo das famílias obtida a partir da Pesquisa de Orçamentos Familiares (POF) do IBGE.  A composição do IPC é dividida em oito grupos ou classes de despesa, 25 subgrupos, 85 itens e 338 subitens. Essa diversidade permite uma análise detalhada dos diferentes segmentos da economia. O índice é utilizado como referência tanto pelo produtor quanto pelo consumidor.  A abrangência geográfica do IPC é nacional, com dados disponíveis para Belo Horizonte, Brasília, Porto Alegre, Recife, Rio de Janeiro, São Paulo e Salvador. Já a abrangência setorial inclui os seguintes segmentos: alimentação, habitação, vestuário, saúde e cuidados pessoais, educação, leitura e recreação, transportes, despesas diversas e comunicação.  A coleta de preços para o cálculo do IPC é realizada diariamente e há diferentes versões do índice, como o IPC diário, o IPC-S (pesquisado quadrissemanalmente), o IPC-M (mensal), o IPC-10 (mensal), o IPC-DI (mensal), o IPC-3i (mensal) e o IPC-C1 (mensal). A série histórica do IPC remonta a 1947.  Em resumo, o IPC é um indicador essencial para acompanhar as variações de preços no mercado brasileiro, fornecendo informações importantes sobre o poder de compra do consumidor em diferentes regiões e setores da economia.
Ibreprods;Ibreprods_IPC-S;"""O IPC-S (Índice de Preços ao Consumidor - Semanal) é um indicador do FGV IBRE que mede a variação do custo de vida para famílias com renda entre 1 e 33 salários-mínimos mensais. Ele integra o sistema de índices de preços ao consumidor da FGV IBRE, e a coleta de dados é realizada semanalmente, levando em conta a média dos preços coletados nas quatro últimas semanas até a data de fechamento. A divulgação das taxas de variação é feita com um intervalo de um dia após o fim da coleta, sendo um dos mais curtos em padrões internacionais.   O IPC-S tem como principais usos detectar com agilidade mudanças nos preços de produtos e serviços consumidos pelas famílias. Sua abrangência geográfica inclui Belo Horizonte, Brasília, Porto Alegre, Recife, Rio de Janeiro, São Paulo e Salvador, e sua abrangência setorial engloba alimentação, habitação, vestuário, saúde e cuidados pessoais, educação, leitura e recreação, transportes e despesas diversas.  A pesquisa de preços é realizada diariamente em períodos que vão do dia 08 ao dia 07 do mês de referência, do dia 16 ao dia 15 do mês de referência, do dia 23 ao dia 22 do mês de referência, e do dia 01 ao dia 30. O IPC-S é divulgado de forma semanal e possui uma série histórica desde o ano de 2003."""
Ibreprods;Ibreprods_IPC-C1;"""O IPC-C1 (Índice de Preços ao Consumidor - Classe 1) é um indicador que mede a variação do custo de vida para famílias com renda entre 1 e 2,5 salários-mínimos mensais. Esse índice é calculado com base nos resultados das Pesquisas de Orçamentos Familiares (POF) realizadas pelo IBGE, que permitem conhecer em detalhes as estruturas de consumo das famílias brasileiras.  O objetivo principal do IPC-C1 é detectar possíveis diferenças entre a taxa de inflação calculada para a população em geral e a inflação vivenciada pelas famílias de menor poder aquisitivo. Isso ocorre porque cada família possui um perfil de consumo único, influenciado pela sua renda, composição e preferências.  O IPC-C1 abrange sete regiões metropolitanas do Brasil: Belo Horizonte, Brasília, Porto Alegre, Recife, Rio de Janeiro, São Paulo e Salvador. Além disso, considera oito grupos de despesas: alimentação, habitação, vestuário, saúde e cuidados pessoais, educação, leitura e recreação, transportes e despesas diversas.  A coleta de dados para o IPC-C1 é realizada mensalmente, entre o 1º e o último dia do mês de referência. A série histórica desse índice teve início em 2004.  Em resumo, o IPC-C1 é uma importante ferramenta para medir a variação do custo de vida das famílias de baixa renda, permitindo identificar diferenças entre a inflação geral e a inflação vivenciada por essas famílias. Seu cálculo é baseado em pesquisas detalhadas sobre a estrutura de consumo das famílias brasileiras e abrange diversas regiões metropolitanas e grupos de despesas."""
Ibreprods;Ibreprods_IPC-3i;O IPC-3i é um índice de preços ao consumidor desenvolvido pelo FGV IBRE que mede a variação do custo de vida para famílias compostas, principalmente, por indivíduos com mais de 60 anos de idade. Ele foi criado com base na Pesquisa de Orçamentos Familiares (POF) realizada pelo FGV IBRE em 2002/2003 e analisa o orçamento de famílias com idosos. Através do IPC-3i, é possível observar como a variação de uma cesta de produtos e serviços relevantes para famílias com idosos afeta o custo de vida dos brasileiros na melhor idade.  Além de medir a evolução do custo de vida para famílias com mais de 60 anos, o IPC-3i também é utilizado como referência para a execução de políticas públicas nas áreas de saúde e previdência. Sua abrangência geográfica inclui Belo Horizonte, Brasília, Porto Alegre, Recife, Rio de Janeiro, São Paulo e Salvador. Quanto à abrangência setorial, o índice contempla os setores de alimentação, habitação, vestuário, saúde e cuidados pessoais, educação, leitura e recreação, transportes e despesas diversas.  O IPC-3i é calculado trimestralmente, considerando o período entre o 1º e o último dia do mês de referência. Sua série histórica remonta a 1994. Em resumo, o IPC-3i é um importante indicador que permite monitorar a variação dos preços dos principais itens de consumo para a terceira idade, além de servir como base para a elaboração de políticas públicas voltadas para essa faixa etária.
Ibreprods;Ibreprods_IPGF;O Índice de Preços dos Gastos Familiares (IPGF) é um índice ao consumidor calculado pelo FGV IBRE que mede mensalmente a importância relativa dos bens e serviços consumidos pelas famílias brasileiras. Sua principal característica é a atualização tempestiva de sua ponderação, o que permite captar de forma ágil as alterações nas preferências e hábitos de consumo das famílias. A cesta de consumo do IPGF é composta por 52 produtos e serviços, cujos pesos são recalculados mensalmente com base em dados do Sistema de Contas Nacionais. O índice possui abrangência geográfica nacional e não possui desagregações regionais. Além disso, o IPGF não pertence a nenhum setor produtivo, medindo a variação do custo de vida de todas as famílias brasileiras. O período de coleta das variações percentuais utilizadas pelo IPGF é o mesmo do IPCA/IBGE, ou seja, mensal. Em resumo, o IPGF é um importante indicador que permite acompanhar a evolução dos preços dos bens e serviços consumidos pelas famílias brasileiras, sendo atualizado de forma ágil e representativo.
Ibreprods;Ibreprods_IVAR;O IVAR (Índice de Variação de Aluguéis Residenciais) é um indicador que mensura a variação mensal dos preços de aluguéis residenciais em quatro das principais capitais brasileiras: Belo Horizonte, Porto Alegre, Rio de Janeiro e São Paulo. Esse índice é calculado com base em informações anonimizadas de contratos de locação obtidas pelo FGV IBRE junto a empresas administradoras de imóveis.  Para realizar o cálculo do IVAR, são utilizados dados de um amplo conjunto de contratos de aluguéis residenciais, que englobam tanto os valores dos contratos novos quanto os reajustes de contratos existentes, além de considerar as características de cada imóvel. A metodologia estatística empregada permite uma mensuração robusta da variação média dos aluguéis ao longo do tempo, refletindo o comportamento dos fundamentos de oferta e demanda do mercado de locação de imóveis residenciais.  O IVAR é coletado do primeiro ao último dia de cada mês e sua periodicidade é mensal. Esse indicador é uma ferramenta fundamental para monitorar a evolução dos preços de aluguéis residenciais em diferentes regiões do país, possibilitando uma análise mais precisa do mercado imobiliário e auxiliando na tomada de decisões por parte de investidores, locatários e proprietários.
Ibreprods;Ibreprods_Sondagem do Mercado de Trabalho;"""A Sondagem do Mercado de Trabalho é uma pesquisa mensal realizada pelo FGV IBRE com o objetivo de aprofundar o conhecimento sobre o mercado de trabalho brasileiro e antecipar tendências das principais variáveis relacionadas a ele. O questionário aplicado prioriza informações do tempo presente, mas também pode abordar questões futuras de curto ou longo prazo.  A pesquisa é dividida em diferentes seções, que incluem dados cadastrais, conjuntura do mercado de trabalho para ocupados e não ocupados, e quesitos especiais que abordam temas específicos para qualificar ainda mais a análise do mercado de trabalho. Alguns dos tópicos pesquisados são satisfação com o trabalho e bem-estar, futuro do trabalho e percepções de longo prazo, segurança de trabalho e renda, e home-office.  As respostas levantadas pela Sondagem do Mercado de Trabalho são predominantemente qualitativas. Os quesitos fixos são apurados mensalmente e abrangem temas como desocupação, subocupação, renda familiar média, desalento, desemprego oculto, entre outros. Já os quesitos especiais são apurados trimestralmente ou anualmente, criando uma série histórica para cada tema.  A pesquisa abrange pessoas em idade ativa em todo o território nacional e a coleta de dados é realizada entre o primeiro e último dia do mês. A periodicidade varia, sendo mensal para os quesitos fixos e trimestral ou anual para os quesitos especiais. A Sondagem do Mercado de Trabalho é uma importante fonte de informação para especialistas, analistas econômicos, formuladores de políticas públicas e empresas, auxiliando na elaboração de análises, propostas e tomada de decisões relacionadas ao mercado de trabalho brasileiro."""
